一		One	<span class="tone1">yī</span><!--yi-->							nhất		1	1	deck:current tag:RSH is:suspended (hanzi:一)	1	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
二		Two	<span class="tone4">èr</span><!--er-->							nhị		2	2	deck:current tag:RSH is:suspended (hanzi:二 or keyword:"one")	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
三		Three	{sān,sàn}							tam		3	3	deck:current tag:RSH is:suspended (hanzi:三 or keyword:"one")	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
四		Four	<span class="tone4">sì</span><!--si-->	第四	dì sì	fourth				tứ		4	4	deck:current tag:RSH is:suspended (hanzi:四 or keyword:"mouth" or keyword:"youngster")	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
五		Five	wǔ							ngũ		5	5	deck:current tag:RSH is:suspended (hanzi:五)	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
六		Six	{liù,lù}							lục		6	6	deck:current tag:RSH is:suspended (hanzi:六 or keyword:"p.animal legs" or keyword:"p.top hat")	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
七		Seven	qī							thất		7	7	deck:current tag:RSH is:suspended (hanzi:七)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
八		Eight	<span class="tone1">bā</span><!--ba-->							bát		8	8	deck:current tag:RSH is:suspended (hanzi:八)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
九		Nine	<span class="tone3">jiǔ</span><!--jiu-->							cửu		9	9	deck:current tag:RSH is:suspended (hanzi:九)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
十		Ten	shí							thập		10	10	deck:current tag:RSH is:suspended (hanzi:十)	2	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
口		Mouth	kǒu	窗口	chuāng kǒu	window				khẩu		11	11	deck:current tag:RSH is:suspended (hanzi:口)	3	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
日		Day	{rì,mì}	日本	Rì běn	Japan				nhật		12	12	deck:current tag:RSH is:suspended (hanzi:日)	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
月		Month	yuè	本月	běn yuè	this month				nguyệt		13	13	deck:current tag:RSH is:suspended (hanzi:月)	4	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
田		Rice Field	tián							điền		14	14	deck:current tag:RSH is:suspended (hanzi:田)	5	FSI-StandardChinese-ORN1 RSH RSH1 RSH1-01 SameSimpTrad
